Name,PIC50
CMNPD1,4.790379788
CMNPD100,4.883989333
CMNPD10,5.44093314
CMNPD1000,4.746133847
CMNPD10000,5.596083295
CMNPD10001,5.596083295
CMNPD10002,5.596083295
CMNPD10003,4.420895557
CMNPD10004,4.721373872
CMNPD10005,5.797434695
CMNPD10006,5.797434695
CMNPD10007,5.994004553
CMNPD10008,6.525031613
CMNPD10009,6.394683864
CMNPD1001,4.45540245
CMNPD10010,6.61040338
CMNPD10012,4.871354512
CMNPD10011,6.61040338
CMNPD10013,4.871354512
CMNPD10014,5.005637681
CMNPD10015,5.005637681
CMNPD10017,5.337470893
CMNPD10016,5.112882727
CMNPD10018,5.650384014
CMNPD10019,5.664773464
CMNPD10020,5.163219096
CMNPD10021,5.163219096
CMNPD10022,4.764811754
CMNPD10023,4.764811754
CMNPD1002,4.45540245
CMNPD10024,5.163219096
CMNPD10025,5.432241218
CMNPD10026,5.666408641
CMNPD10027,5.4716289
CMNPD10029,5.272595535
CMNPD10028,5.311217313
CMNPD10030,4.920778232
CMNPD10031,5.168793963
CMNPD10032,6.58562858
CMNPD1003,4.713786372
CMNPD10034,5.353510727
CMNPD10033,6.58562858
CMNPD10035,5.082421987
CMNPD10037,4.552672381
CMNPD10036,4.961372076
CMNPD10038,4.93235833
CMNPD10039,4.936313499
CMNPD10040,4.653654753
CMNPD10041,4.990116054
CMNPD10042,5.096826257
CMNPD10043,4.764433757
CMNPD10044,4.773329834
CMNPD1004,4.420264806
CMNPD10045,5.06504544
CMNPD10046,5.131392325
CMNPD10047,5.21938839
CMNPD10048,5.21938839
CMNPD10049,5.160367356
CMNPD1005,4.40983895
CMNPD10051,5.117296194
CMNPD10050,5.892065638
CMNPD10053,5.118389122
CMNPD10052,5.160367356
CMNPD10054,5.106158274
CMNPD10055,5.106158274
CMNPD10056,5.106158274
CMNPD10058,5.518315856
CMNPD10057,5.164055974
CMNPD10059,5.518315856
CMNPD10060,4.720203592
CMNPD10061,5.041320929
CMNPD1006,4.40983895
CMNPD10062,5.044460766
CMNPD10063,5.044331229
CMNPD10064,5.044460766
CMNPD10065,5.044460766
CMNPD10067,5.041320929
CMNPD10066,5.041320929
CMNPD10068,5.044460766
CMNPD10069,5.03822477
CMNPD1007,4.420264806
CMNPD10070,5.265422489
CMNPD10071,5.577928417
CMNPD10072,5.577928417
CMNPD10073,5.577928417
CMNPD10075,5.565766474
CMNPD10074,5.577928417
CMNPD10076,5.565766474
CMNPD10077,5.565766474
CMNPD10078,5.565766474
CMNPD1008,5.385865916
CMNPD10079,5.536757473
CMNPD10081,5.045851163
CMNPD10082,5.042711326
CMNPD10083,4.820969229
CMNPD10080,5.577928417
CMNPD10087,5.558987082
CMNPD10088,5.558987082
CMNPD1009,5.105000954
CMNPD10089,5.544767707
CMNPD10091,5.05352655
CMNPD10092,5.05352655
CMNPD10090,5.544767707
CMNPD10093,5.05352655
CMNPD10094,5.05352655
CMNPD10096,5.114629105
CMNPD10097,5.337955724
CMNPD10095,4.625615858
CMNPD10098,5.358921483
CMNPD10099,5.358921483
CMNPD101,4.914461406
CMNPD10100,5.358921483
CMNPD1010,5.105000954
CMNPD10102,5.256019161
CMNPD10101,5.358921483
CMNPD10103,5.26385207
CMNPD10105,4.876936952
CMNPD10104,4.876936952
CMNPD10107,4.723345438
CMNPD10108,4.723345438
CMNPD10106,5.269559634
CMNPD10109,4.723345438
CMNPD10110,5.118932462
CMNPD1011,5.105000954
CMNPD10111,5.197702424
CMNPD10113,5.634243014
CMNPD10112,5.616391861
CMNPD10114,4.838766249
CMNPD10115,5.350021214
CMNPD10116,5.132182719
CMNPD10117,5.952658468
CMNPD10118,5.622362061
CMNPD1012,5.279755117
CMNPD10119,6.754001617
CMNPD10121,4.618371619
CMNPD10120,5.476163809
CMNPD10122,5.227834083
CMNPD10123,4.575717235
CMNPD10125,4.609991996
CMNPD10124,4.618371619
CMNPD10126,5.684374848
CMNPD10127,5.860908526
CMNPD10129,7.151398398
CMNPD10128,5.63215656
CMNPD1013,5.51171232
CMNPD10131,4.661139487
CMNPD10130,7.206560004
CMNPD10132,5.377177189
CMNPD10133,5.377177189
CMNPD10134,5.377177189
CMNPD10136,4.777721848
CMNPD10137,5.038697056
CMNPD10135,5.377177189
CMNPD10139,4.5864027
CMNPD10138,4.822737455
